Nummer;Nederlands;Wetenschappelijke naam;Extra info;Afbeelding;AfbKort;Bron foto
1;tamme kastanje;Castanea sativa;Castanea sativa, of tamme kastanje, is een grote loofboom met stekelige bolsters die eetbare kastanjes bevatten. Hij groeit van nature in Zuid-Europa en West-Azië.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/1645175274-f4670926.jpeg;1645175274-f4670926.jpeg;
2;moseik;Quercus cerris;Quercus cerris, of moseik, is een grote loofboom met diep gelobde bladeren en stekelige napjes om de eikels. Hij groeit van nature in Zuid- en Midden-Europa en West-Azië.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/file_cd237868-f259-4647-b8d3-19b7f40c293e.jpg;file_cd237868-f259-4647-b8d3-19b7f40c293e.jpg;
3;wintereik;Quercus petraea;Quercus petraea, of wintereik, is een grote loofboom met gelobde bladeren en stevige eikels. Hij groeit van nature in Europa, vooral op droge, zandige of rotsachtige bodems.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/Quercus_petraea_-_Köhler–s_Medizinal-Pflanzen-118.jpg;Quercus_petraea_-_Köhler–s_Medizinal-Pflanzen-118.jpg;
4;kurkeik;Quercus suber;Quercus suber, of kurkeik, is een wintergroene loofboom met dikke, kurkachtige schors die wordt geoogst voor de productie van kurk. Hij groeit van nature in het westelijke Middellandse Zeegebied.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/Image-of-Quercus-suber-L-A-Immature-acorns-and-leaves-of-cork-oak-B-The-bark-shape-of.png.jpeg;Image-of-Quercus-suber-L-A-Immature-acorns-and-leaves-of-cork-oak-B-The-bark-shape-of.png.jpeg;
5;zomereik;Quercus robur;Quercus robur, of zomereik, is een grote loofboom met gelobde bladeren en lange stelen aan de eikels. Hij groeit van nature in Europa en West-Azië en is een belangrijke boom in gemengde bossen.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/quercus-robur-vrucht2.jpg;quercus-robur-vrucht2.jpg;
6;beuk;Fagus sylvatica;Fagus sylvatica, of beuk, is een grote loofboom met gladde grijze schors en dichte bladeren. Hij groeit van nature in Europa en wordt vaak gebruikt in heggen of als sierboom.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/fasya9854B.jpg;fasya9854B.jpg;
7;donzige eik;Quercus pubescens;Quercus pubescens, of donzige eik, is een loofboom met behaarde twijgen en bladeren die aan de onderkant behaard zijn. Hij groeit van nature in Zuid-Europa en West-Azië, vaak op droge, kalkrijke gronden.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/1379023.jpg;1379023.jpg;
8;pyreneese eik of spaanse eik of bergeik;Quercus pyrenaica;Quercus pyrenaica, of Pyreneese eik, is een loofboom met diep ingesneden, harige bladeren. Hij groeit van nature in het westelijke Middellandse Zeegebied, vooral in Spanje en Portugal.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/1642679800-scaled-aa2f6238.jpeg;1642679800-scaled-aa2f6238.jpeg;
9;tamme kastanje;Castanea sativa;Castanea sativa, of tamme kastanje, is een grote boom met breed, gekarteld blad en stekelige bolsters die eetbare kastanjes bevatten. Kenmerkend zijn de zoete kastanjes, die vaak worden geoogst voor consumptie. De boom groeit goed in gematigde klimaten en kan zeer oud worden.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Plantendril/sweet-chestnut-royalty-free-image-1603266835.jpg;sweet-chestnut-royalty-free-image-1603266835.jpg;
10;beuk;Fagus sylvatica;Bladrand: Geonduleerd;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Fagus_sylvatica_-_fruits_and_leaves.jpg;Fagus_sylvatica_-_fruits_and_leaves.jpg;
11;zomereik;Quercus robur;Bladrand: Gelobd (veer- of vinlobbig);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Upright_English_Oak_Quercus_robur_cv._Fastigiata_Leaves_2600px.jpg;Upright_English_Oak_Quercus_robur_cv._Fastigiata_Leaves_2600px.jpg;
12;moeraseik;Quercus palustris;Bladrand: Gespleten - Veer- of vinspletig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/dakmoeraseik-quercus-palustris-240-cm-stamomtrek-8-cm-kruisdak.jpg;dakmoeraseik-quercus-palustris-240-cm-stamomtrek-8-cm-kruisdak.jpg;
