Nummer;Nederlands;Wetenschappelijke naam;Extra info;Afbeelding;AfbKort
1;amandelwilg;Salix triandra;Salix triandra, of amandelwilg, is een struik of kleine boom die bekend staat om zijn flexibele twijgen, vaak gebruikt voor vlechtwerk.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/34555635.jpg;34555635.jpg
2;grauwe abeel;Populus x canescens;De Populus x canescens (Grauwe abeel) is een hybride populier met grijsgroene, behaarde bladeren en een rechte, vaak robuuste stam. Typisch voor deze boom is zijn snelle groei en aanpassing aan uiteenlopende bodemsoorten, vaak te vinden in open landschappen en langs wegen.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/poca6.jpg;poca6.jpg
3;ratelpopulier of trilpopulier of esp;Populus tremula;Populus tremula, of ratelpopulier, is een loofboom met afgeronde, getande bladeren die in de wind ritselen. Hij groeit van nature in Europa en Azië en wordt vaak aangetroffen in open bossen en op zandige gronden.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/especie_056_02.jpg;especie_056_02.jpg
4;zwarte populier;Populus nigra;Populus nigra, of zwarte populier, is een snelgroeiende loofboom met getande bladeren en een rechte stam. Hij groeit van nature in Europa, Noord-Afrika en West-Azië, vaak langs waterwegen.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/Populus-nigra_Bornand-Christophe_2021-09-27_P9270033.jpg;Populus-nigra_Bornand-Christophe_2021-09-27_P9270033.jpg
5;witte abeel;Populus alba;Populus alba, of witte abeel, is een grote loofboom met gelobde, donkergroene bladeren die aan de onderkant witviltig zijn. Hij groeit van nature in Zuid- en Midden-Europa, vaak langs rivieren.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/especie_065_01.jpg;especie_065_01.jpg
6;schietwilg;Salix alba;Salix alba, of schietwilg, is een snelgroeiende boom die vaak voorkomt langs rivieren en beken.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/salixalba.jpeg;salixalba.jpeg
7;boswilg;Salix caprea;Salix caprea, of boswilg, is een boom die vroeg in het jaar bloeit met kenmerkende katjes.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/1200px-Illustration_Salix_caprea0.jpg;1200px-Illustration_Salix_caprea0.jpg
8;kraakwilg;Salix fragilis;Salix fragilis, ook wel bekend als de breekbare wilg, staat bekend om zijn breekbare takken. Het is echter niet de enige soort waarbij de twijgen gemakkelijk breken, dus dit kenmerk is niet doorslaggevend.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/especie_081_03.jpg;especie_081_03.jpg
9;larierwilg;Salix pentandra;De Salix pentandra (Laurierwilg) is een snelgroeiende wilgensoort met glanzende, leerachtige bladeren die een laurierachtige uitstraling hebben. Kenmerkend is de geurige, gele bloei in de lente. Vaak te vinden in vochtige gebieden zoals langs waterkanten.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/Salix-pentandra_Bornand-Christophe_2008-07-16_4804.jpg;Salix-pentandra_Bornand-Christophe_2008-07-16_4804.jpg
10;zwarte populier;Populus nigra;Vijfstralig merg;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/populus-nigra.jpg;populus-nigra.jpg
11;zwarte populier;Populus nigra;Bladschijf: Ruitvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/PONIGRA-175200CONT-3.jpg;PONIGRA-175200CONT-3.jpg
12;laurierwilg;Salix pentandra;Bladschijf: Lancetvormig (lengte = 4 a 5x de breedte);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/bay-willow-leaves-branch-102336-nature-photographers-ltd.jpg;bay-willow-leaves-branch-102336-nature-photographers-ltd.jpg
13;schietwilg;Salix alba;Bladschijf: Lijnlancetvormig (lengte = 5 a 10x de breedte);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/7ee6a7bca92548bbaa473ccffa3809a7.jpg;7ee6a7bca92548bbaa473ccffa3809a7.jpg
14;populier;Populus;Tweehuizig: Mannelijke en vrouwelijke voortplantingsorganen op aparte planten (deze foto toont het mannetje);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bloemen/Populier_mannelijke_bloeiwijze_(Populus_canadensis_male_inflorescences).jpg;Populier_mannelijke_bloeiwijze_(Populus_canadensis_male_inflorescences).jpg
15;wilg;Salix;Tweehuizig: Mannelijke en vrouwelijke voortplantingsorganen op aparte planten;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bloemen/266px-Cleaned-Illustration_Salix_viminalis.jpg;266px-Cleaned-Illustration_Salix_viminalis.jpg
